Program Name,University Name,City,Country,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
ICT - Software Engineering,Saxion University of Applied Sciences,Deventer,Netherlands,"1,488,418 BDT / year",1 year,3.9,39,,https://www.mastersportal.com/studies/406104/ict-software-engineering.html?ref=search_card
Data Science,University of Bristol,England,United Kingdom,"5,855,054 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/433166/data-science.html?ref=search_card
Computer Science (conversion),University of Bristol,England,United Kingdom,"5,694,642 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/10621/computer-science.html?ref=search_card
Data Science,The University of Exeter,England,United Kingdom,"4,860,497 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/277711/data-science.html?ref=search_card
Data Science Conversion,Kingston University,England,United Kingdom,"3,208,249 BDT / year",1 year,4.1,136,5%,https://www.mastersportal.com/studies/442516/data-science-conversion.html?ref=search_card
MSc in Data Management in Corporate Finance,Audencia,Paris,France,"2,100,135 BDT / year",2 years,3.9,34,,https://www.mastersportal.com/studies/306524/msc-in-data-management-in-corporate-finance.html?ref=search_card
Professional Software Development (Data Science) (Part-time),Ulster University,Derry,Ireland,"3,808,993 BDT / year",3 years,4.2,57,3%,https://www.mastersportal.com/studies/399399/professional-software-development.html?ref=search_card
Computer Science,University of Wolverhampton,England,United Kingdom,"2,718,991 BDT / year",1 year,4.1,105,6%,https://www.mastersportal.com/studies/252728/computer-science.html?ref=search_card
Data Science for Business,University of Bristol,England,United Kingdom,"5,437,982 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/468404/data-science-for-business.html?ref=search_card
Electrical and Computer Engineering,University of Memphis,Tennessee,United States,"4,204,021 BDT / year",1 year,4.4,17,6%,https://www.mastersportal.com/studies/326123/electrical-and-computer-engineering.html?ref=search_card
Intelligent Maintenance Engineering,The University of Lancashire,England,United Kingdom,"2,871,383 BDT / year",1 year,4.1,62,5%,https://www.mastersportal.com/studies/297671/intelligent-maintenance-engineering.html?ref=search_card
Geography,Vrije Universiteit Brussel (VUB),Brussels,Belgium,"647,095 BDT / year",2 years,4,91,2%,https://www.mastersportal.com/studies/20365/geography.html?ref=search_card
Computer Game Engineering,Newcastle University,England,United Kingdom,"5,181,322 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/7156/computer-game-engineering.html?ref=search_card
Cybersecurity,Florida International University (FIU),Florida,United States,"2,316,964 BDT / year",2 years,4.3,95,3%,https://www.mastersportal.com/studies/284273/cybersecurity.html?ref=search_card
Computational Methods in Architecture,Cardiff University,Wales,United Kingdom,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/215438/computational-methods-in-architecture.html?ref=search_card
Human Centred Artificial Intelligence for Games Development,Bournemouth University,England,United Kingdom,"3,007,733 BDT / year",1 year,4.1,75,4%,https://www.mastersportal.com/studies/412253/human-centred-artificial-intelligence-for-games-development.html?ref=search_card
Artificial Intelligence with Industrial Placement,Ulster University,N Ireland,United Kingdom,"3,808,993 BDT / year",2 years,4.2,57,3%,https://www.mastersportal.com/studies/458314/artificial-intelligence-with-industrial-placement.html?ref=search_card
Autonomous Systems,Technical University of Denmark (DTU),Kongens Lyngby,Denmark,"2,114,230 BDT / year",2 years,4.2,122,1%,https://www.mastersportal.com/studies/277826/autonomous-systems.html?ref=search_card
Data Science for Business,University of Stirling,Scotland,United Kingdom,"3,898,022 BDT / year",1 year,4.2,71,3%,https://www.mastersportal.com/studies/488160/data-science-for-business.html?ref=search_card
Advanced Software Engineering,University of Leicester,England,United Kingdom,"3,793,754 BDT / year",1 year,4.3,91,2%,https://www.mastersportal.com/studies/309927/advanced-software-engineering.html?ref=search_card
Digital Business,Newcastle University,England,United Kingdom,"4,940,703 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/27819/digital-business.html?ref=search_card
Applied Data Science,Teesside University,England,United Kingdom,"2,727,011 BDT / year",1 year,4.3,83,7%,https://www.mastersportal.com/studies/313363/applied-data-science.html?ref=search_card
Computer Science,Kennesaw State University,Georgia,United States,"2,454,417 BDT / year",2 years,4.2,18,9%,https://www.mastersportal.com/studies/130008/computer-science.html?ref=search_card
Computer Science,University of Liverpool,England,United Kingdom,"4,940,703 BDT / year",1 year,4.3,115,1%,https://www.mastersportal.com/studies/288217/computer-science.html?ref=search_card
Computer Science,Pace University,N/A,Multiple locations,"3,052,485 BDT / year",2 years,4.1,85,,https://www.mastersportal.com/studies/138712/computer-science.html?ref=search_card
